x_m,shear_N,moment_Nm
0.0,700.0,0.0
0.02,696.0,13.96
0.04,692.0,27.84
0.06,688.0,41.64
0.08,684.0,55.36
0.1,680.0,69.0
0.12,676.0,82.56
0.14,672.0,96.04000000000002
0.16,668.0,109.44
0.18,664.0,122.76
0.2,660.0,136.0
0.22,656.0,149.16
0.24,652.0,162.24
0.26,648.0,175.24
0.28,644.0,188.16000000000003
0.3,640.0,201.0
0.32,636.0,213.76
0.34,632.0,226.44000000000003
0.36,628.0,239.04
0.38,624.0,251.56
0.4,620.0,264.0
0.4,-380.0,264.0
0.42,-384.0,256.36000000000007
0.44,-388.0,248.64000000000001
0.46,-392.0,240.83999999999997
0.48,-396.0,232.96000000000004
0.5,-400.0,225.00000000000003
0.52,-404.0,216.95999999999998
0.54,-408.0,208.83999999999997
0.56,-412.0,200.64000000000001
0.58,-416.0,192.36000000000007
0.6,-420.0,184.00000000000006
0.62,-424.0,175.56000000000003
0.64,-428.0,167.04000000000002
0.66,-432.0,158.44
0.68,-436.0,149.76000000000005
0.7,-440.0,141.0
0.72,-444.0,132.16000000000008
0.74,-448.0,123.24000000000007
0.76,-452.0,114.24000000000001
0.78,-456.0,105.15999999999997
0.8,-460.0,96.0
0.82,-464.0,86.76000000000005
0.84,-468.0,77.44000000000011
0.86,-472.0,68.04000000000002
0.88,-476.0,58.559999999999945
0.9,-480.0,49.0
0.92,-484.0,39.360000000000014
0.94,-488.0,29.6400000000001
0.96,-492.0,19.840000000000146
0.98,-496.0,9.960000000000036
1.0,-500.0,0.0
