height_m,AB_N,AC_N,BC_N
0.5,1000.0,-1118.033988749895,-1118.033988749895
0.53,943.3962264150941,-1067.7061580857533,-1067.7061580857533
0.56,892.8571428571428,-1023.3249129924574,-1023.3249129924574
0.59,847.4576271186442,-983.963632336868,-983.963632336868
0.62,806.4516129032259,-948.8752309730793,-948.8752309730793
0.65,769.2307692307693,-917.4508032212742,-917.4508032212742
0.6799999999999999,735.294117647059,-889.1892034018222,-889.1892034018222
0.71,704.2253521126761,-863.6743289910976,-863.6743289910976
0.74,675.6756756756756,-840.5579210856208,-840.5579210856208
0.77,649.3506493506493,-819.5463780727177,-819.5463780727177
0.8,625.0,-800.3905296791061,-800.3905296791061
0.8300000000000001,602.4096385542168,-782.8776230184525,-782.8776230184525
0.86,581.3953488372093,-766.8249811068627,-766.8249811068627
0.89,561.7977528089888,-752.0749397907297,-752.0749397907297
0.9199999999999999,543.4782608695652,-738.4907718027404,-738.4907718027404
0.95,526.3157894736843,-725.9533802175642,-725.9533802175642
0.98,510.204081632653,-714.3585968647811,-714.3585968647811
1.01,495.049504950495,-703.6149602955654,-703.6149602955654
1.04,480.7692307692307,-693.6418768027474,-693.6418768027474
1.0699999999999998,467.2897196261683,-684.3680896040543,-684.3680896040543
1.1,454.54545454545456,-675.7303976053867,-675.7303976053867
1.13,442.47787610619474,-667.672577573356,-667.672577573356
1.1600000000000001,431.0344827586206,-660.1444730716084,-660.1444730716084
1.19,420.1680672268908,-653.1012208817107,-653.1012208817107
1.22,409.8360655737705,-646.5025913675736,-646.5025913675736
1.25,400.0,-640.3124237432849,-640.3124237432849
1.28,390.625,-634.4981407577172,-634.4981407577172
1.31,381.6793893129771,-629.0303301322815,-629.0303301322815
1.3399999999999999,373.13432835820896,-623.8823823440855,-623.8823823440855
1.37,364.96350364963496,-619.0301761596256,-619.0301761596256
1.4,357.1428571428572,-614.4518047887591,-614.4518047887591
1.4300000000000002,349.6503496503496,-610.1273367180098,-610.1273367180098
1.46,342.4657534246576,-606.0386062527026,-606.0386062527026
1.49,335.5704697986577,-602.1690295929307,-602.1690295929307
1.52,328.9473684210526,-598.5034429233767,-598.5034429233767
1.55,322.58064516129036,-595.0279595386038,-595.0279595386038
1.58,316.45569620253167,-591.7298434750685,-591.7298434750685
1.61,310.55900621118013,-588.59739749584,-588.59739749584
1.64,304.8780487804878,-585.6198635874619,-585.6198635874619
1.67,299.40119760479047,-582.787334391528,-582.787334391528
1.7,294.1176470588236,-580.090674215177,-580.090674215177
1.73,289.0173410404625,-577.5214484520026,-577.5214484520026
1.76,284.09090909090907,-575.071860403636,-575.071860403636
1.79,279.3296089385475,-572.7346946272435,-572.7346946272435
1.82,274.72527472527474,-570.5032660492644,-570.5032660492644
1.85,270.27027027027026,-568.3713741841376,-568.3713741841376
1.88,265.95744680851067,-566.3332618811135,-566.3332618811135
1.91,261.7801047120419,-564.3835780947632,-564.3835780947632
1.94,257.73195876288656,-562.5173442372726,-562.5173442372726
1.97,253.80710659898477,-560.7299237245579,-560.7299237245579
2.0,250.0,-559.0169943749474,-559.0169943749474
